blockTime,mint,delta_raw,fee_lamports
1772167665,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1286717838,5607
1772167665,9Kvh8PvWTgMDMwwCiJRFaVUgJ5iYhjDsZi5yQonkigFN,-1607130499471,5607
1772167653,BkSbFrDMkfkoG4NDUwadEGeQgVwoXkR3F3P1MPUnBAGS,-699948644038028,31130
1772167653,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1693187297,31130
1772167620,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-222726823114,80001
1772167601,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,111363411557,80000
1772167591,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,111363411557,80000
1772156218,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,44696072863,35767
1772150220,CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,-152900001,157604
1772150155,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-54699214779,85001
1772150132,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,17360127209,5000
1772150131,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,37071331768,5000
1772145824,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-3044607978976,80001
1772145805,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,3044607978976,80000
1772044430,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,12383913,5000
1772040561,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,-380646968,9098
1772040213,38PgzpJYu2HkiYvV8qePFakB8tuobPdGm2FFEn7Dpump,380646968,5000
1772027890,5yC9BM8KUsJTPbWPLfA2N8qH1s9V8DQ3Vcw1G6Jdpump,-12299404640,7616
1772027860,5yC9BM8KUsJTPbWPLfA2N8qH1s9V8DQ3Vcw1G6Jdpump,12299404640,5000
1772017909,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,-287292590,80001
1772017738,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,267755007,18778
1771992984,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-5553970054,5000
1771992984,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-11861261891,5000
1771992941,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,17415232066,12683
1771983422,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-11806157150,5000
1771983422,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-25213661655,5000
1771983386,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,15771194373,5000
1771983386,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,21248625106,5000
1771981827,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-19072260,17096
1771981798,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,19072260,5000
1771981116,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-1837032524,15620
1771981009,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,1837032490,5000
1771973118,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,-374310295521,21624
1771973061,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,189342866490,80000
1771973053,GodL6KZ9uuUoQwELggtVzQkKmU1LfqmDokPibPeDKkhF,184967429031,80000
1771972975,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-3029974373,52272
1771972922,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,918110714,5000
1771972922,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,2111863693,5000
1771972894,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-656995371,19693
1771972165,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,152313913,21627
1771964589,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,-37392094,8295
1771964571,NV2RYH954cTJ3ckFUpvfqaQXU4ARqqDH3562nFSpump,37388454,82932
1771949188,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,113826881,121053
1771944035,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,390854473,121104
1771919710,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-1255148183,5000
1771919710,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-3136300473,5000
1771917940,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,3867342127,18777
1771906926,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-14516046190,5000
1771906926,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-18109668291,5000
1771906904,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,5898542714,5000
1771906904,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,22870425485,5000
1771906904,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,4380852887,5000
1771901600,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-4380853471,72389
1771901572,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,1283240504,530000
1771901572,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,3097597204,83001
1771892503,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-1283240514,5000
1771892503,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,-3097267358,5000
1771892461,AVF9F4C4j8b1Kh4BmNHqybDaHgnZpJ7W7yLvL7hUpump,2968954334,82973
